archivo,duracion,sample_rate,tamano_MB
spontaneous-speech-es-83371.mp3,5.256,32000,0.03011798858642578
spontaneous-speech-es-74957.mp3,10.368,32000,0.05936908721923828
spontaneous-speech-es-71835.mp3,24.48,32000,0.14011859893798828
spontaneous-speech-es-82589.mp3,5.76,32000,0.03300189971923828
spontaneous-speech-es-80762.mp3,9.468,32000,0.05421924591064453
spontaneous-speech-es-80761.mp3,6.228,32000,0.03567981719970703
spontaneous-speech-es-74958.mp3,5.76,32000,0.03300189971923828
spontaneous-speech-es-74956.mp3,6.408,32000,0.03670978546142578
spontaneous-speech-es-83357.mp3,8.46,32000,0.04845142364501953
spontaneous-speech-es-74955.mp3,5.184,32000,0.02970600128173828
spontaneous-speech-es-83364.mp3,6.84,32000,0.03918170928955078
spontaneous-speech-es-83341.mp3,7.02,32000,0.04021167755126953
spontaneous-speech-es-74952.mp3,6.372,32000,0.03650379180908203
spontaneous-speech-es-83388.mp3,2.268,32000,0.013020515441894531
spontaneous-speech-es-83393.mp3,3.276,32000,0.01878833770751953
spontaneous-speech-es-80760.mp3,4.212,32000,0.02414417266845703
spontaneous-speech-es-83379.mp3,1.728,32000,0.009930610656738281
spontaneous-speech-es-83351.mp3,8.316,32000,0.04762744903564453
spontaneous-speech-es-83362.mp3,3.348,32000,0.01920032501220703
spontaneous-speech-es-83386.mp3,2.376,32000,0.013638496398925781
spontaneous-speech-es-83375.mp3,3.528,32000,0.02023029327392578
spontaneous-speech-es-83314.mp3,5.868,32000,0.03361988067626953
spontaneous-speech-es-83308.mp3,10.368,32000,0.05936908721923828
spontaneous-speech-es-83342.mp3,1.476,32000,0.008488655090332031
spontaneous-speech-es-83347.mp3,4.5,32000,0.02579212188720703
spontaneous-speech-es-83373.mp3,2.52,32000,0.014462471008300781
spontaneous-speech-es-83391.mp3,7.776,32000,0.04453754425048828
spontaneous-speech-es-83354.mp3,13.176,32000,0.07543659210205078
spontaneous-speech-es-82590.mp3,1.548,32000,0.008900642395019531
spontaneous-speech-es-83376.mp3,3.708,32000,0.02126026153564453
spontaneous-speech-es-71834.mp3,11.268,32000,0.06451892852783203
spontaneous-speech-es-83360.mp3,7.02,32000,0.04021167755126953
spontaneous-speech-es-83318.mp3,6.84,32000,0.03918170928955078
spontaneous-speech-es-74960.mp3,20.88,32000,0.11951923370361328
spontaneous-speech-es-83365.mp3,4.428,32000,0.02538013458251953
spontaneous-speech-es-83368.mp3,5.256,32000,0.03011798858642578
spontaneous-speech-es-74953.mp3,4.788,32000,0.02744007110595703
spontaneous-speech-es-79577.mp3,4.716,32000,0.02702808380126953
spontaneous-speech-es-83311.mp3,2.7,32000,0.015492439270019531
spontaneous-speech-es-83350.mp3,4.608,32000,0.02641010284423828
spontaneous-speech-es-80763.mp3,7.812,32000,0.04474353790283203
spontaneous-speech-es-83345.mp3,6.408,32000,0.03670978546142578
spontaneous-speech-es-74959.mp3,7.848,32000,0.04494953155517578
spontaneous-speech-es-83336.mp3,12.276,32000,0.07028675079345703
spontaneous-speech-es-83381.mp3,5.688,32000,0.03258991241455078
spontaneous-speech-es-74954.mp3,5.652,32000,0.03238391876220703
spontaneous-speech-es-78185.mp3,1.98,32000,0.011468887329101562
spontaneous-speech-es-83306.mp3,5.436,32000,0.03114795684814453
spontaneous-speech-es-83316.mp3,9.396,32000,0.05380725860595703
spontaneous-speech-es-83330.mp3,7.02,32000,0.04021167755126953
